experiment,class_idx,class_name,precision,recall,f1,support,overall_accuracy,overall_accuracy_top5,overall_loss
MobileNet-V2_Finetuned_results,0,Corn___Common_Rust,0.6835443037974683,0.9,0.776978417266187,120,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,1,Corn___Gray_Leaf_Spot,0.9047619047619048,0.7307692307692307,0.8085106382978723,52,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,2,Corn___Healthy,0.9914529914529915,0.9914529914529915,0.9914529914529915,117,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,3,Corn___Northern_Leaf_Blight,0.811965811965812,0.9595959595959596,0.8796296296296297,99,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,4,Potato___Early_Blight,0.9801980198019802,0.99,0.9850746268656716,100,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,5,Potato___Healthy,0.8,1.0,0.888888888888889,16,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,6,Potato___Late_Blight,1.0,0.92,0.9583333333333334,100,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,7,Rice___Brown_Spot,0.68,0.5483870967741935,0.6071428571428571,62,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,8,Rice___Healthy,0.9027777777777778,0.8666666666666667,0.8843537414965987,150,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,9,Rice___Leaf_Blast,0.6716417910447762,0.45454545454545453,0.5421686746987951,99,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,10,Rice___Neck_Blast,0.8928571428571429,1.0,0.9433962264150945,100,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,11,Sugarcane__Bacterial Blight,0.7,0.7,0.7,10,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,12,Sugarcane__Healthy,0.8333333333333334,1.0,0.9090909090909091,10,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,13,Sugarcane__Red Rot,0.8333333333333334,0.5,0.625,10,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,14,Wheat___Brown_Rust,0.875,1.0,0.9333333333333333,91,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,15,Wheat___Healthy,1.0,0.8584070796460177,0.9238095238095239,113,87.63040238450074,99.92548435171386,0.43327275458733716
MobileNet-V2_Finetuned_results,16,Wheat___Yellow_Rust,1.0,1.0,1.0,93,87.63040238450074,99.92548435171386,0.43327275458733716
